# timestamp (ns), altitide (m)
1631087838637145088,1.383040000000000e+02
1631087838895601152,1.382580000000000e+02
1631087839128733184,1.382220000000000e+02
1631087839386610688,1.381870000000000e+02
1631087839630776064,1.381520000000000e+02
1631087839886671616,1.381250000000000e+02
1631087840141040128,1.381140000000000e+02
1631087840399101440,1.381180000000000e+02
1631087840631102976,1.381220000000000e+02
1631087840888953856,1.381390000000000e+02
1631087841145699584,1.381500000000000e+02
1631087841401313792,1.381600000000000e+02
1631087841634036992,1.381790000000000e+02
1631087841884037888,1.381950000000000e+02
1631087842140945152,1.382000000000000e+02
1631087842397239808,1.382010000000000e+02
1631087842626586112,1.382080000000000e+02
1631087842892706304,1.382110000000000e+02
1631087843126532608,1.382040000000000e+02
1631087843404998912,1.381960000000000e+02
1631087843637636608,1.381800000000000e+02
1631087843883301888,1.381640000000000e+02
1631087844138389504,1.381450000000000e+02
1631087844395760896,1.381180000000000e+02
1631087844627459840,1.381000000000000e+02
1631087844884854528,1.380710000000000e+02
1631087845142631936,1.380390000000000e+02
1631087845398427136,1.380120000000000e+02
1631087845630949376,1.379970000000000e+02
1631087845876440320,1.379850000000000e+02
1631087846144426752,1.379810000000000e+02
1631087846401101056,1.379710000000000e+02
1631087846625862400,1.379540000000000e+02
1631087846887877376,1.379120000000000e+02
1631087847144542464,1.378500000000000e+02
1631087847396922624,1.377910000000000e+02
1631087847639621376,1.377580000000000e+02
1631087847894748672,1.377360000000000e+02
1631087848129980160,1.377340000000000e+02
1631087848386510592,1.377240000000000e+02
1631087848632177152,1.377320000000000e+02
1631087848891090688,1.377360000000000e+02
1631087849146245120,1.377390000000000e+02
1631087849404027648,1.377500000000000e+02
1631087849644831232,1.377610000000000e+02
1631087849879602432,1.377680000000000e+02
1631087850134003456,1.377800000000000e+02
1631087850392267264,1.377770000000000e+02
1631087850639738880,1.377680000000000e+02
1631087850895090944,1.377600000000000e+02
1631087851153090816,1.377350000000000e+02
1631087851411375872,1.377160000000000e+02
1631087851641576448,1.376880000000000e+02
1631087851896768000,1.376590000000000e+02
1631087852153808896,1.376190000000000e+02
1631087852387772672,1.376010000000000e+02
1631087852640993536,1.375980000000000e+02
1631087852892881664,1.375920000000000e+02
1631087853126540800,1.375940000000000e+02
1631087853404815872,1.376030000000000e+02
1631087853638248704,1.376100000000000e+02
1631087853887217408,1.376170000000000e+02
1631087854142750464,1.376200000000000e+02
1631087854399753984,1.376310000000000e+02
1631087854633082880,1.376350000000000e+02
1631087854888890880,1.376420000000000e+02
1631087855144034048,1.376310000000000e+02
1631087855401392384,1.376250000000000e+02
1631087855634016000,1.376110000000000e+02
1631087855878878720,1.375960000000000e+02
1631087856132923648,1.375820000000000e+02
1631087856391075072,1.375570000000000e+02
1631087856644664576,1.375320000000000e+02
1631087856894489856,1.375040000000000e+02
1631087857151299584,1.374900000000000e+02
1631087857405428480,1.375020000000000e+02
1631087857639121152,1.375130000000000e+02
1631087857876809728,1.375280000000000e+02
1631087858129131008,1.375350000000000e+02
1631087858386451200,1.375490000000000e+02
1631087858640490240,1.375500000000000e+02
1631087858882387968,1.375580000000000e+02
1631087859137354496,1.375700000000000e+02
1631087859394115072,1.375930000000000e+02
1631087859651595776,1.376090000000000e+02
1631087859884934144,1.376380000000000e+02
1631087860142899968,1.376650000000000e+02
1631087860397736960,1.376790000000000e+02
1631087860626658560,1.376850000000000e+02
1631087860877161728,1.376850000000000e+02
1631087861155124992,1.376900000000000e+02
1631087861411670784,1.376970000000000e+02
1631087861643700992,1.377070000000000e+02
1631087861886828544,1.377130000000000e+02
1631087862142598400,1.377040000000000e+02
1631087862399520000,1.377020000000000e+02
1631087862630938880,1.376880000000000e+02
1631087862903507200,1.376830000000000e+02
1631087863137977600,1.376930000000000e+02
1631087863416603648,1.376970000000000e+02
1631087863627205632,1.377200000000000e+02
1631087863890806784,1.377260000000000e+02
1631087864145741824,1.377140000000000e+02
1631087864403029248,1.376790000000000e+02
1631087864630238720,1.376430000000000e+02
1631087864886619392,1.376040000000000e+02
1631087865143700480,1.375800000000000e+02
1631087865398673664,1.375490000000000e+02
1631087865631318528,1.375380000000000e+02
1631087865886354176,1.375340000000000e+02
1631087866141835776,1.375140000000000e+02
1631087866399774208,1.374790000000000e+02
1631087866632984320,1.374430000000000e+02
1631087866887175424,1.374150000000000e+02
1631087867141152768,1.373960000000000e+02
1631087867398410496,1.374100000000000e+02
1631087867630719232,1.374210000000000e+02
1631087867879062784,1.374320000000000e+02
1631087868135289600,1.374320000000000e+02
1631087868392637696,1.374260000000000e+02
1631087868643118848,1.374080000000000e+02
1631087868878268160,1.373920000000000e+02
1631087869134282240,1.373690000000000e+02
1631087869391089920,1.373610000000000e+02
1631087869636854016,1.373520000000000e+02
1631087869882387968,1.373280000000000e+02
1631087870143638528,1.372890000000000e+02
1631087870395847680,1.372530000000000e+02
1631087870627588096,1.371980000000000e+02
1631087870895938304,1.371410000000000e+02
1631087871133337856,1.370680000000000e+02
1631087871386439168,1.369870000000000e+02
1631087871641412608,1.369180000000000e+02
1631087871878735104,1.368320000000000e+02
1631087872138915328,1.367390000000000e+02
1631087872417041408,1.366260000000000e+02
1631087872627812864,1.365180000000000e+02
1631087872893648128,1.364210000000000e+02
1631087873149608448,1.363280000000000e+02
1631087873405476096,1.362320000000000e+02
1631087873631648768,1.361220000000000e+02
1631087873888824064,1.360300000000000e+02
1631087874142812928,1.359290000000000e+02
1631087874399899392,1.358310000000000e+02
1631087874632183040,1.357340000000000e+02
1631087874890437632,1.356480000000000e+02
1631087875145819392,1.355640000000000e+02
1631087875403682048,1.354790000000000e+02
1631087875646693888,1.354030000000000e+02
1631087875881078016,1.353240000000000e+02
1631087876136553216,1.352400000000000e+02
1631087876392833280,1.351510000000000e+02
1631087876637367296,1.350600000000000e+02
1631087876893127936,1.349650000000000e+02
1631087877147356160,1.348680000000000e+02
1631087877403781888,1.347850000000000e+02
1631087877640748544,1.346980000000000e+02
1631087877896835072,1.346130000000000e+02
1631087878152991744,1.345250000000000e+02
1631087878409209600,1.344310000000000e+02
1631087878641769216,1.343510000000000e+02
1631087878888471808,1.342780000000000e+02
1631087879144704000,1.341920000000000e+02
1631087879402066944,1.341110000000000e+02
1631087879630946560,1.340300000000000e+02
1631087879889825536,1.339560000000000e+02
1631087880143683840,1.338810000000000e+02
1631087880400840192,1.338140000000000e+02
1631087880634724096,1.337640000000000e+02
1631087880887334656,1.337080000000000e+02
1631087881144794112,1.336420000000000e+02
1631087881402002688,1.335610000000000e+02
1631087881637188096,1.334750000000000e+02
1631087881888039168,1.333850000000000e+02
1631087882144647936,1.333030000000000e+02
1631087882399874560,1.332260000000000e+02
1631087882648793344,1.331650000000000e+02
1631087882903958528,1.331020000000000e+02
